2019-12-29T23:59:55.000Z	1211436715673391105	珍しく電車とバスの旅。寒い https://t.co/y2g3vRYOZJ	{'place_id': '0fc2ebc8fd54d001'}
2019-12-29T23:58:58.000Z	1211436476614840320	@himawali_online @KTa26203229 JTB旅行券が欲しいです！素敵すぎる企画ですね😂三歳の息子に、飛行機にのってどこか連れてってあげたいと思っていたので当選したら絶対実行します！！	{'place_id': '436a62a4938dbb9a'}
2019-12-29T23:56:59.000Z	1211435978172162048	JTB旅行券がいいです！三歳の息子との素敵な旅行の思い出作りにぜひとも当たって欲しいです🙌 https://t.co/GQvuE8z6q8	{'place_id': '436a62a4938dbb9a'}
2019-12-29T23:48:02.000Z	1211433728540430336	おはようございます😃ひがしむき商店街の上海樓です♬今日は雨☔️お出かけの際は気をつけて下さいね🌟昨日も商店街やその周辺は、人出がすごかったです💦年末年始、よろしければお立ち寄り下さい😊@nara_mise https://t.co/720Jv2qZIR	{'place_id': '3c420466fa0082a9'}
2019-12-29T23:43:42.000Z	1211432637199310849	おはです。東花園行きの普通電車。ラグビー観に行く人ばかり(^◇^;)	{'place_id': '1a1b6836a02ec33b'}
2019-12-29T23:37:09.000Z	1211430989261459456	@c2maccounting おっちゃんは、【甲子園界隈】(阪神甲子園)ですから、電車なら大阪(キタ・ミナミ)・神戸・奈良 自動車なら名神・高速神戸線・高速湾岸線 使えます❗️	{'place_id': '00e9190a07f58988'}
2019-12-29T23:34:43.000Z	1211430374972313610	#大阪城イルミナージュ おはようございます😃日付が変わってから無事、大阪から戻りまして、すでに出勤しております。本日、最終出勤日です。かなり眠いですが💤乗り切ってまいります。頭の中は、未だ、大阪城ホールなのですがね😊 場所: 西の丸庭園 https://t.co/BrC8qtzZKj	{'coordinates': {'type': 'Point', 'coordinates': [135.52339554, 34.68698685]}, 'place_id': '4d1f7bf488219a63'}
2019-12-29T23:27:41.000Z	1211428605579923463	年内ラスト出勤なう (@ 自宅(新居) in 京都市, 京都府) https://t.co/fnnmxm4Tgp	{'coordinates': {'type': 'Point', 'coordinates': [135.69053902, 35.01555527]}, 'place_id': 'b7fc529c09acc847'}
2019-12-29T23:21:52.000Z	1211427142786879488	@hedgehog501 アキさん❗おはようございます😀お出かけですか、足元悪いんで気を付けてね☺今日もよろしくお願いします🙇⤵️	{'place_id': 'e77d4ce957dbc0cd'}
2019-12-29T23:16:08.000Z	1211425701049462784	夜出勤寝る寝るフリーダム♡ https://t.co/HhFtcGoAp5	{'place_id': '0da0e1224e17cd1d'}
2019-12-29T23:07:10.000Z	1211423442802634752	休日出勤2日目😭雨がヤバい(　˙灬˙　)ﾉ	{'place_id': '8faa6bda62c22c5d'}
