2021-01-03T22:31:31.000Z	1345860371064762368	10時出勤なので、2021仕事始め前にちょっくら遊び行きます！ (@ 地下鉄 姪浜駅 in 福岡市, 福岡県) https://t.co/0QDxy1JQqk	{'coordinates': {'type': 'Point', 'coordinates': [130.32537524, 33.58378148]}, 'place_id': '28d9f7c5865651ca'}
2021-01-03T21:22:04.000Z	1345842891910856704	出勤しながらふと...100年前のスペイン風邪の日本での感染率が3年間で43%、致死率0.8%だから、それに比べたら、まだマシかと思えるレベル。(現在の人口で換算したら、5400万人が感染して15万人が死ぬ)人類は、長年、ウイルスとの戦いなのよ... https://t.co/CdX4NjFs8B	{'place_id': 'd458617907c51263'}
2021-01-03T21:11:08.000Z	1345840139902205952	出勤前に(^^)。かほりこおめでとうございますm(__)m。とうとう今年は末っ子ちゃん達からお姉さん達になる年ですね。二人は絶対的に優しくて可愛らしいパイセンになるんじゃろ〜なぁ(⌒▽⌒)。2人にとって、今年も笑顔溢れる年になりますよーに＼(^^)／。 #かほりこエビ中加入7周年 https://t.co/9sn66fEoME	{'place_id': '06dee0fd8a4d815c'}
2021-01-03T20:27:06.000Z	1345829058123190272	起床。出勤。	{'place_id': 'd458617907c51263'}
2021-01-03T18:08:01.000Z	1345794057734275073	@YK_fdhsbhakahel 今回はコロナもあって難しかったけど、次回は飲みにでも行こうや😏	{'place_id': '06dee0fd8a4d815c'}
2021-01-03T17:44:22.000Z	1345788105459003393	最近あることに気付いて心のどん底から復活したのだがここでは言うまい。コロナ禍で悩んでる方やあれもこれも出来ないと思ってる方は摩天楼屋台に飲みに来てください。きっと解せるはず。	{'place_id': 'f62cf04248a8314b'}
2021-01-03T15:51:45.000Z	1345759765511639040	@chanmai_KONICA 残念でしたね(´・ω・｀)うちも一昨年10月が結婚20周年で記念旅行計画して宿やオプショナルツアーも予約して昨年の2月に挙行するはずでしたがコロナ禍が幅を利かせてるのを警戒して泣く泣く挙行10日前にキャンセル料金払って中止にしました｡:ﾟ(;´∩`;)ﾟ:｡	{'place_id': '67e8b450ce5fa959'}
2021-01-03T15:48:42.000Z	1345758996578279425	【中身】・ひとみんと温泉旅行券・ひとみんが履いてたスニーカー・ひとみんの飲みかけペットボトル・ひとみんが着てた体操服・ひとみんのおっぱいタッチ券【価格】4962円(税込)#推し福袋 https://t.co/drnIZKskjJ	{'place_id': '4bda4536528abe8f'}
2021-01-03T14:34:14.000Z	1345740258315366401	@yamakouzc31s 多忙期は、6時半出勤も有ります。	{'place_id': 'a29d2918916e6486'}
2021-01-03T14:15:06.000Z	1345735443661295616	よくわかんないけど有名人がコロナ陽性って聞くと「あー不要不急の外出して飲み会にでも行ったのだろうか」と考えてしまう。だめだこんな考え。気をつけよ。	{'place_id': '9a9414fd6ec311ca'}
2021-01-03T13:45:11.000Z	1345727914906591233	@j4nb0iR8xHiYUD2 シマシュンさん、いじってしまって御免なさい。私もやってみたら面白かったです。勿論、架空の話ですから。まりあちゃんと温泉旅行はやばいです。高校生なので完全にアウトです。	{'place_id': 'd709bc058a10903a'}
